Rajon Rondo,Guard,53,36.93,11.89,4.85,11.7,1.79,0.06,3.62,1.87,1
Ray Allen,Guard,46,34.02,14.24,3.09,2.37,1.07,0.17,1.5,1.8,0
Paul Pierce,Forward,61,34.01,19.36,5.2,4.49,1.15,0.43,2.84,2.41,1
Brandon Bass,Forward,59,32.66,12.51,6.19,0.93,0.58,0.92,1.1,2.29,1
Kevin Garnett,Forward,60,31.07,15.78,8.23,2.92,0.93,1.02,1.78,2.35,1
Jermaine O'Neal,Center,25,22.78,5,5.4,0.4,0.32,1.72,0.84,3.2,0
Mickael Pietrus,Guard,42,21.93,6.88,3.1,0.6,0.5,0.24,0.79,1.93,0
Avery Bradley,Guard,64,21.38,7.56,1.8,1.36,0.67,0.19,1.17,1.7,1
Chris Wilcox,Forward,28,17.19,5.43,4.36,0.43,0.39,0.32,1.07,2.29,0
Keyon Dooling,Guard,46,14.38,3.96,0.85,1.11,0.28,0.04,0.74,1.24,0
Sean Williams,Center,3,14.05,3.67,4,1,1,1,1,1.33,0
Greg Stiemsma,Center,55,13.93,2.93,3.22,0.51,0.67,1.55,0.6,2.62,0
Marquis Daniels,Guard,38,12.73,3.18,1.74,1.24,0.55,0.24,0.74,0.95,0
Aleksandar Pavlovic,Forward,45,11.72,2.67,1.6,0.4,0.44,0.33,0.44,1.2,0
Ryan Hollins,Center,15,10.68,2.8,1.73,0.2,0.07,0.33,0.73,1.53,0
E'Twaun Moore,Guard,38,8.71,2.89,0.87,0.89,0.29,0.08,0.55,0.87,0
JaJuan Johnson,Forward,36,8.28,3.17,1.61,0.17,0.14,0.39,0.39,0.69,0
