Rudy Gay,Forward,65,37.26,18.95,6.42,2.26,1.46,0.85,2.48,2.12,1
Marc Gasol,Center,65,36.47,14.65,8.91,3.14,0.95,1.86,1.86,3.09,1
Mike Conley Jr.,Guard,62,35.07,12.71,2.52,6.52,2.19,0.18,2.02,2.15,1
O.J. Mayo,Guard,66,26.83,12.62,3.18,2.56,1.08,0.35,1.88,2.08,0
Tony Allen,Guard,58,28.3,9.79,4.02,1.36,1.79,0.57,1.62,2.45,1
Zach Randolph,Forward,28,26.25,11.57,8.04,1.71,0.75,0.14,1.43,2.04,1
Marreese Speights,Forward,60,22.41,8.77,6.23,0.8,0.35,0.48,1.23,2.45,0
Dante Cunningham,Forward,64,17.57,5.2,3.84,0.58,0.66,0.53,0.45,1.53,0
Quincy Pondexter,Forward,64,15.66,4.23,1.97,0.42,0.42,0.08,0.47,1.41,0
Gilbert Arenas,Guard,17,12.4,4.24,1.06,1.06,0.65,0.06,0.71,2.06,0
Sam Young,Forward,21,11.41,3.52,1.95,0.43,0.52,0.1,0.43,0.57,0
Jeremy Pargo,Guard,44,9.64,2.86,0.84,1.25,0.32,0,1.05,1.05,0
Josh Davis,Forward,15,8.69,1.87,1.8,0.4,0.47,0.07,0.2,1.27,0
Josh Selby,Guard,28,8.46,2.25,0.54,1.07,0.25,0,1.04,0.61,0
Lester Hudson,Guard,3,6.5,3,0,0.33,0,0,0.67,0,0
Hamed Haddadi,Center,35,5.88,2,2.03,0.23,0.03,0.74,0.6,1.23,0
Brian Skinner,Forward,1,4.37,0,0,0,0,0,0,1,0
