LeBron James,Forward,62,37.52,27.15,7.94,6.24,1.85,0.81,3.44,1.55,1
Chris Bosh,Forward,57,35.21,17.98,7.93,1.81,0.89,0.79,2.05,2.25,1
Dwyane Wade,Guard,49,33.17,22.08,4.84,4.59,1.67,1.29,2.63,2.24,1
Mario Chalmers,Guard,64,28.52,9.8,2.67,3.47,1.52,0.17,2.22,2.59,1
Udonis Haslem,Forward,64,24.82,6.02,7.34,0.66,0.55,0.38,0.94,2.22,1
Shane Battier,Forward,65,23.06,4.78,2.4,1.26,0.98,0.51,0.57,1.62,0
Joel Anthony,Center,64,21.08,3.42,3.91,0.14,0.56,1.31,0.7,1.97,0
Norris Cole,Guard,65,19.39,6.78,1.4,2.05,0.68,0.03,1.62,1.91,0
Mike Miller,Forward,39,19.29,6.08,3.26,1.08,0.38,0.15,0.77,1.49,0
Ronny Turiaf,Center,13,16.98,3.46,4.46,0.38,0.62,1.08,0.62,2.46,0
Terrel Harris,Guard,22,14.46,3.64,2.32,1.18,0.41,0.09,1.14,1.55,0
James Jones,Forward,51,13.05,3.63,0.96,0.37,0.33,0.18,0.2,0.88,0
Dexter Pittman,Center,35,8.6,3.03,2.03,0.26,0.23,0.23,0.49,2.09,0
Juwan Howard,Forward,28,6.79,1.5,1.68,0.36,0.14,0.04,0.71,0.64,0
Eddy Curry,Center,14,5.9,2.14,0.86,0.07,0,0.14,0.71,1.21,0
Mickell Gladness,Center,8,3.54,0.25,1.38,0.25,0.12,0.12,0.38,1,0
