Marcin Gortat,Center,66,33.03,15.41,9.98,0.89,0.74,1.48,1.36,2.15,1
Steve Nash,Guard,62,31.63,12.45,2.98,10.71,0.61,0.13,3.69,0.85,1
Jared Dudley,Guard,65,31.08,12.66,4.63,1.74,0.75,0.29,1.11,1.65,1
Grant Hill,Forward,49,28.12,10.18,3.49,2.18,0.84,0.59,1.33,1.8,0
Channing Frye,Forward,64,26.08,10.53,5.92,1.38,0.66,1.08,0.98,2.75,1
Shannon Brown,Guard,59,23.73,11.02,2.64,1.15,0.75,0.25,1.08,1.12,1
Markieff Morris,Forward,63,19.48,7.41,4.43,1.03,0.65,0.67,1.11,2.84,0
Michael Redd,Guard,51,15.1,8.2,1.51,0.65,0.25,0,0.73,0.57,0
Sebastian Telfair,Guard,60,14.91,6.13,1.53,2.3,0.68,0.2,1.13,2,0
Josh Childress,Forward,34,14.45,2.94,2.79,1,0.41,0.18,0.26,1.12,0
Hakim Warrick,Forward,35,14.37,6.43,2.63,0.86,0.23,0.09,1.03,1,0
Ronnie Price,Guard,36,14.36,3.64,1.56,1.86,0.94,0.08,1.28,2,0
Robin Lopez,Center,64,13.98,5.44,3.27,0.31,0.28,0.94,0.67,2,0
